计费对象,产品名称,产品到期时间,状态,停机类型,客户编号,用户类型,客户等级,网络类型,业务备注,收费类型,入网时间,渠道名称,网格序号
ys0037715,宽带10M产品,9/1/2017,正使用,正常,c10006756041,新用户,1星D客户,农网用户,LAN接入,普通,3/20/2013, , 
ys0079339,宽带10M产品,12/29/2017,正使用,正常,c10006757786,新用户,5星ABD客户,城网用户,EOC接入,普通,12/28/2014, , 
ys0037854,宽带4M产品,4/1/2017,正使用,正常,c10006759636,新用户,1星D客户,农网用户,LAN接入,普通,3/23/2013, , 
ys0037978,宽带4M产品,8/15/2017,正使用,正常,c10006763358,新用户,1星D客户,城网用户,LAN接入,普通,3/26/2013, , 
ys0069065,宽带4M产品,8/19/2017,正使用,正常,c10006766450,新用户,5星ABD客户,城网用户,EOC接入,普通,6/29/2014, , 
ys0038130,宽带10M产品,12/29/2017,正使用,正常,c10006767171,新用户,5星ABD客户,城网用户,LAN接入,普通,3/29/2013, , 
ys0056156,宽带10M产品,1/23/2017,已停用,欠费停机,c10002446376,新用户,3星AB客户,城网用户,EOC接入,广电系统,12/30/2013, , 
ys0038189,宽带10M产品,6/8/2017,正使用,正常,c10006769889,新用户,5星ABD客户,农网用户,EOC接入,普通,3/30/2013, , 
ys0038261,宽带4M产品,4/15/2017,正使用,正常,c10006771675,新用户,1星D客户,农网用户,EOC接入,普通,4/1/2013, , 
ys0038263,宽带10M产品,3/23/2017,正使用,正常,c10006771824,新用户,1星D客户,农网用户,EOC接入,普通,4/1/2013, , 
ys0038503,宽带10M产品,6/11/2017,正使用,正常,c10006779268,新用户,5星ABD客户,城网用户,EOC接入,普通,4/7/2013, , 
ys0038539,宽带20M产品,3/8/2017,正使用,正常,c10006780004,新用户,1星D客户,农网用户,EOC接入,普通,4/8/2013, , 
ys0038642,宽带10M产品,10/17/2017,正使用,正常,c10006783178,新用户,1星D客户,城网用户,EOC接入,普通,4/9/2013, , 
ys0038662,宽带10M产品,7/17/2017,正使用,正常,c10006783846,新用户,5星ABD客户,城网用户,EOC接入,农网居民,4/10/2013, , 
ys0038789,宽带10M产品,10/11/2017,正使用,正常,c10006786959,新用户,5星ABD客户,城网用户,EOC接入,普通,4/12/2013, , 
ys0038812,宽带10M产品,1/2/2018,正使用,正常,c10006787958,新用户,5星ABD客户,城网用户,EOC接入,普通,4/12/2013, , 
ys0011946,宽带10M产品,2/24/2017,正使用,正常,c10006789708,新用户,5星ABD客户,农网用户,EOC接入,普通,1/22/2011, , 
ys0038909,宽带10M产品,1/19/2018,正使用,正常,c10006791496,新用户,5星ABD客户,城网用户,EOC接入,普通,4/15/2013, , 
ys0040133,宽带10M产品,6/27/2017,正使用,正常,c10006797905,新用户,5星ABD客户,城网用户,EOC接入,普通,5/10/2013, , 
ys0039117,宽带10M产品,6/24/2017,正使用,正常,c10006799997,新用户,1星D客户,农网用户,EOC接入,普通,4/20/2013, , 
ys0039143,宽带4M产品,4/23/2017,正使用,正常,c10006800619,新用户,1星D客户,农网用户,LAN接入,普通,4/21/2013, , 
ys0026240,宽带4M产品,3/11/2017,正使用,正常,c10006800727,新用户,1星D客户,农网用户,LAN接入,普通,5/25/2012, , 
ys0047654,宽带10M产品,8/8/2017,正使用,正常,c10006801781,新用户,5星ABD客户,城网用户,EOC接入,普通,9/16/2013, , 
ys0039185,宽带10M产品,9/21/2017,正使用,正常,c10006802134,新用户,1星D客户,城网用户,LAN接入,普通,4/22/2013, , 
ys0030736,宽带10M产品,1/23/2017,已停用,欠费停机,c10002491658,新用户,离线,城网用户,EOC接入,普通,10/1/2012, , 
ys0067635,宽带10M产品,1/16/2018,正使用,正常,c10006805152,新用户,5星ABD客户,农网用户,EOC接入,普通,6/11/2014, , 
ys0087373,宽带10M产品,5/28/2017,正使用,正常,c10006805249,新用户,5星ABD客户,农网用户,EOC接入,普通,5/29/2015, , 
ys0039283,宽带10M产品,5/13/2017,正使用,正常,c10006805305,新用户,5星ABD客户,城网用户,EOC接入,普通,4/24/2013, , 
ys0079525,宽带10M产品,1/7/2018,正使用,正常,c10006808488,新用户,5星ABD客户,城网用户,EOC接入,普通,12/31/2014, , 
ys0039396,宽带4M产品,3/15/2017,正使用,正常,c10006808550,新用户,1星D客户,城网用户,LAN接入,普通,4/26/2013, , 
ys0039569,宽带4M产品,5/1/2014,已停用,客户报停,c10006814652,新用户,离线,城网用户,LAN接入,普通,5/2/2013, , 
ys0039611,宽带10M产品,8/13/2017,正使用,正常,c10006815667,新用户,1星D客户,农网用户,LAN接入,普通,5/2/2013, , 
ys0039625,宽带10M产品,9/8/2017,正使用,正常,c10006815739,新用户,5星ABD客户,农网用户,EOC接入,普通,5/2/2013, , 
ys0039741,宽带10M产品,8/27/2017,正使用,正常,c10006817493,新用户,1星D客户,农网用户,LAN接入,普通,5/3/2013, , 
ys0040036,宽带10M产品,12/6/2017,正使用,正常,c10006820788,新用户,5星ABD客户,城网用户,EOC接入,普通,5/9/2013, , 
ys0047558,宽带20M产品,1/23/2017,已停用,欠费停机,c10006993114,新用户,离线,农网用户,EOC接入,普通,9/13/2013, , 
ys0052711,宽带10M产品,5/29/2017,正使用,正常,c10006822355,新用户,5星ABD客户,城网用户,EOC接入,普通,11/19/2013, , 
ys0039938,宽带10M产品,7/13/2017,正使用,正常,c10006822792,新用户,5星ABD客户,城网用户,EOC接入,普通,5/7/2013, , 
ys0066394,宽带10M产品,1/24/2017,已停用,欠费停机,c10002477202,新用户,离线,农网用户,EOC接入,普通,5/22/2014, , 
ys0040071,宽带10M产品,5/16/2017,正使用,正常,c10006825804,新用户,5星ABD客户,城网用户,LAN接入,普通,5/9/2013, , 
ys0040078,宽带10M产品,12/6/2017,正使用,正常,c10006825877,新用户,5星ABD客户,城网用户,EOC接入,普通,5/9/2013, , 
ys0081147,宽带10M产品,1/24/2017,已停用,欠费停机,c10002479776,新用户,1星A客户,城网用户,EOC接入,普通,1/21/2015, , 
ys0040158,宽带10M产品,9/1/2017,正使用,正常,c10006827341,新用户,5星ABD客户,农网用户,EOC接入,普通,5/10/2013, , 
ys0040154,宽带10M产品,6/26/2017,正使用,正常,c10006827352,新用户,5星ABD客户,城网用户,EOC接入,普通,5/10/2013, , 
ys0040301,宽带4M产品,7/13/2017,正使用,正常,c10006830551,新用户,1星D客户,农网用户,LAN接入,普通,5/13/2013, , 
ys0019139,宽带10M产品,4/1/2017,正使用,正常,c10006832832,新用户,3星AD客户,农网用户,LAN接入,普通,9/26/2011, , 
ys0040725,宽带10M产品,2/15/2017,正使用,正常,c10006840144,新用户,1星D客户,农网用户,EOC接入,普通,5/20/2013, , 
ys0040802,宽带10M产品,1/19/2018,正使用,正常,c10006842206,新用户,5星ABD客户,农网用户,LAN接入,普通,5/22/2013, , 
ys0040986,宽带4M产品,7/1/2016,已停用,客户报停,c10006846836,新用户,离线,城网用户,EOC接入,普通,5/25/2013, , 
ys0041025,宽带10M产品,5/25/2017,正使用,正常,c10006847639,新用户,5星ABD客户,城网用户,EOC接入,普通,5/26/2013, , 
ys0041146,宽带10M产品,9/19/2017,正使用,正常,c10006850086,新用户,5星ABD客户,城网用户,EOC接入,普通,5/28/2013, , 
ys0041356,宽带4M产品,3/11/2017,正使用,正常,c10006857324,新用户,1星D客户,城网用户,EOC接入,普通,6/2/2013, , 
ys0041519,宽带10M产品,3/24/2017,正使用,正常,c10006860880,新用户,1星D客户,农网用户,EOC接入,普通,6/5/2013, , 
ys0041521,宽带10M产品,4/23/2017,正使用,正常,c10006860892,新用户,5星ABD客户,农网用户,EOC接入,普通,6/5/2013, , 
ys0041821,宽带4M产品,9/10/2014,已停用,客户报停,c10006867778,新用户,离线,城网用户,LAN接入,普通,6/11/2013, , 
ys0041689,宽带10M产品,7/25/2017,正使用,正常,c10006869108,新用户,5星ABD客户,农网用户,EOC接入,普通,6/8/2013, , 
ys0085792,宽带10M产品,10/18/2017,正使用,正常,c10006869138,新用户,5星ABD客户,农网用户,EOC接入,普通,4/29/2015, , 
ys0035666,宽带10M产品,10/18/2017,正使用,正常,c10006869165,新用户,5星ABD客户,农网用户,LAN接入,普通,1/28/2013, , 
ys0042138,宽带10M产品,9/2/2016,已停用,客户报停,c10006874053,新用户,离线,城网用户,LAN接入,普通,6/17/2013, , 
ys0042159,宽带10M产品,10/16/2017,正使用,正常,c10006874308,新用户,5星ABD客户,城网用户,EOC接入,农网居民,6/17/2013, , 
ys0090140,宽带4M产品,10/27/2017,正使用,正常,c10006874933,新用户,5星ABD客户,农网用户,EOC接入,普通,7/22/2015, , 
ys0042483,宽带10M产品,10/25/2017,正使用,正常,c10006881142,新用户,5星ABD客户,城网用户,EOC接入,普通,6/22/2013, , 
ys0042535,宽带4M产品,3/29/2017,正使用,正常,c10006881813,新用户,1星D客户,城网用户,LAN接入,普通,6/23/2013, , 
ys0066403,宽带10M产品,11/26/2017,正使用,正常,c10006884276,新用户,5星ABD客户,城网用户,EOC接入,普通,5/22/2014, , 
ys0022375,宽带10M产品,9/4/2017,正使用,正常,c10006884563,新用户,5星ABD客户,城网用户,EOC接入,农网居民,1/10/2012, , 
ys0059514,宽带10M产品,9/19/2017,正使用,正常,c10006885669,新用户,5星ABD客户,城网用户,EOC接入,农网居民,1/28/2014, , 
ys0072225,宽带10M产品,1/25/2017,已停用,欠费停机,c10002373619,新用户,3星AB客户,城网用户,EOC接入,普通,8/22/2014, , 
ys0081095,宽带10M产品,1/25/2017,已停用,欠费停机,c10002450328,新用户,离线,城网用户,EOC接入,普通,1/21/2015, , 
ys0043250,宽带10M产品,11/3/2017,正使用,正常,c10006893667,新用户,1星D客户,城网用户,EOC接入,普通,7/2/2013, , 
ys0043555,宽带10M产品,7/7/2017,正使用,正常,c10006899905,新用户,5星ABD客户,城网用户,EOC接入,普通,7/7/2013, , 
ys0043740,宽带4M产品,4/13/2017,正使用,正常,c10006906720,新用户,1星D客户,城网用户,EOC接入,普通,7/11/2013, , 
ys0043839,宽带20M产品,3/12/2017,正使用,正常,c10006909343,新用户,1星D客户,城网用户,EOC接入,普通,7/12/2013, , 
ys0043988,宽带10M产品,1/7/2018,正使用,正常,c10006914779,新用户,5星ABD客户,城网用户,EOC接入,普通,7/16/2013, , 
ys0044021,宽带10M产品,3/16/2017,正使用,正常,c10006916635,新用户,1星D客户,农网用户,LAN接入,普通,7/16/2013, , 
ys0044029,宽带10M产品,2/20/2017,正使用,正常,c10006917066,新用户,1星D客户,农网用户,EOC接入,普通,7/16/2013, , 
ys0044143,宽带10M产品,2/17/2017,正使用,正常,c10006920328,新用户,1星D客户,城网用户,LAN接入,普通,7/17/2013, , 
ys0124565,宽带4M产品,11/20/2017,正使用,正常,c10006921748,新用户,5星ABD客户,城网用户,EOC接入,普通,11/21/2016, , 
ys0044182,宽带10M产品,7/29/2017,正使用,正常,c10006921807,新用户,5星ABD客户,农网用户,LAN接入,农网居民,7/18/2013, , 
