计费对象,产品名称,产品到期时间,状态,停机类型,客户编号,用户类型,客户等级,网络类型,业务备注,收费类型,入网时间,渠道名称,网格序号
ys0015874,宽带10M产品,9/3/2017,正使用,正常,c10002513625,新用户,5星ABD客户,城网用户,EOC接入,农网居民,5/27/2011, , 
ys0034974,宽带10M产品,12/21/2016,已停用,欠费停机,c10005064963,新用户,离线,农网用户,LAN接入,普通,1/18/2013, , 
ys0027967,宽带10M产品,1/12/2018,正使用,正常,c10002514002,新用户,1星D客户,城网用户,EOC接入,普通,7/13/2012, , 
ys0058798,宽带10M产品,12/22/2016,已停用,欠费停机,c10005065286,新用户,离线,农网用户,EOC接入,普通,1/21/2014, , 
ys0074999,宽带4M产品,12/21/2017,正使用,正常,c10002514371,新用户,5星ABD客户,城网用户,EOC接入,普通,10/17/2014, , 
ys0021429,宽带4M产品,7/9/2017,正使用,正常,c10002514718,新用户,5星ABD客户,城网用户,EOC接入,普通,12/23/2011, , 
ys0125728,宽带10M产品,12/4/2017,正使用,正常,c10002514724,新用户,5星ABD客户,农网用户,EOC接入,普通,12/5/2016, , 
ys0040269,宽带10M产品,1/25/2018,正使用,正常,c10002514732,新用户,5星ABD客户,城网用户,LAN接入,普通,5/13/2013, , 
ys0031623,宽带10M产品,1/23/2018,正使用,正常,c10002514733,新用户,5星ABD客户,城网用户,EOC接入,普通,10/24/2012, , 
ys0065442,宽带10M产品,8/3/2017,正使用,正常,c10002514736,新用户,5星ABD客户,城网用户,EOC接入,广电系统,5/2/2014, , 
ys0111477,宽带10M产品,6/29/2017,正使用,正常,c10002514737,新用户,5星ABD客户,城网用户,EOC接入,普通,5/30/2016, , 
ys0097933,宽带10M产品,12/1/2017,正使用,正常,c10002514741,新用户,5星ABD客户,城网用户,EOC接入,普通,11/20/2015, , 
ys0051734,宽带10M产品,1/9/2018,正使用,正常,c10002514777,新用户,5星ABD客户,城网用户,EOC接入,普通,11/8/2013, , 
ys0086618,宽带10M产品,8/14/2017,正使用,正常,c10002515155,新用户,5星ABD客户,城网用户,EOC接入,农网居民,5/13/2015, , 
ys0012768,宽带10M产品,11/13/2016,已停用,客户报停,c10002515446,新用户,3星AB客户,城网用户,EOC接入,普通,2/24/2011, , 
ys0110950,宽带4M产品,5/20/2017,正使用,正常,c10002515762,新用户,5星ABD客户,城网用户,EOC接入,普通,5/21/2016, , 
ys0085295,宽带4M产品,6/14/2017,正使用,正常,c10002515775,新用户,5星ABD客户,城网用户,EOC接入,普通,4/20/2015, , 
ys0096259,宽带10M产品,10/30/2017,正使用,正常,c10002515858,新用户,5星ABD客户,城网用户,LAN接入,农网居民,10/28/2015, , 
ys0037341,宽带10M产品,2/28/2017,正使用,正常,c10002515961,新用户,5星ABD客户,城网用户,EOC接入,普通,3/12/2013, , 
ys0096700,宽带10M产品,11/3/2017,正使用,正常,c10002515966,新用户,5星ABD客户,城网用户,EOC接入,普通,11/3/2015, , 
ys0079069,宽带10M产品,12/22/2016,已停用,欠费停机,c10005497323,新用户,1星A客户,农网用户,LAN接入,普通,12/23/2014, , 
ys0121869,宽带10M产品,10/18/2017,正使用,正常,c10002516266,新用户,5星ABD客户,农网用户,EOC接入,农网居民,10/19/2016, , 
ys0023583,宽带10M产品,6/23/2017,正使用,正常,c10002516291,新用户,5星ABD客户,城网用户,EOC接入,普通,2/24/2012, , 
ys0024726,宽带10M产品,7/20/2017,正使用,正常,c10002517665,新用户,5星ABD客户,城网用户,LAN接入,农网居民,3/30/2012, , 
ys0005628,宽带2M产品,2/25/2016,已停用,客户报停,c10002518523,新用户,1星A客户,城网用户,EOC接入,普通,8/4/2010, , 
ys0024535,宽带10M产品,1/19/2018,正使用,正常,c10002519025,新用户,5星ABD客户,农网用户,EOC接入,普通,3/24/2012, , 
ys0021697,宽带10M产品,12/4/2017,正使用,正常,c10002519033,新用户,5星ABD客户,城网用户,EOC接入,普通,12/27/2011, , 
ys0040935,宽带10M产品,5/23/2017,正使用,正常,c10002519171,新用户,5星ABD客户,城网用户,EOC接入,普通,5/24/2013, , 
ys0031370,宽带10M产品,1/20/2018,正使用,正常,c10002519354,新用户,5星ABD客户,城网用户,EOC接入,普通,10/18/2012, , 
ys0010573,宽带4M产品,4/26/2017,已停用,客户报停,c10002519521,新用户,3星AB客户,城网用户,EOC接入,普通,12/25/2010, , 
ys0077066,宽带10M产品,11/22/2017,正使用,正常,c10002519911,新用户,5星ABD客户,城网用户,EOC接入,普通,11/23/2014, , 
ys0095394,宽带10M产品,10/25/2017,正使用,正常,c10002520108,新用户,5星ABD客户,城网用户,EOC接入,普通,10/15/2015, , 
ys0092275,宽带4M产品,10/8/2017,正使用,正常,c10002520304,新用户,5星ABD客户,城网用户,LAN接入,普通,8/31/2015, , 
ys0007658,宽带10M产品,5/3/2017,正使用,正常,c10002520512,宽带续费用户,5星ABD客户,城网用户,EOC接入,普通,10/1/2010, , 
ys0096557,宽带4M产品,1/22/2018,正使用,正常,c10002520519,新用户,5星ABD客户,农网用户,EOC接入,广电系统,11/1/2015, , 
ys0027938,宽带10M产品,9/24/2017,正使用,正常,c10002520792,新用户,5星ABD客户,城网用户,EOC接入,普通,7/12/2012, , 
ys0081182,宽带10M产品,1/25/2018,正使用,正常,c10002520959,新用户,5星ABD客户,城网用户,EOC接入,普通,1/22/2015, , 
ys0073077,宽带10M产品,1/23/2018,正使用,正常,c10002520976,新用户,5星ABD客户,城网用户,EOC接入,普通,9/9/2014, , 
ys0087274,宽带4M产品,10/26/2017,正使用,正常,c10002521111,新用户,5星ABD客户,城网用户,EOC接入,普通,5/27/2015, , 
ys0017711,宽带10M产品,5/28/2017,正使用,正常,c10002521119,新用户,1星D客户,城网用户,EOC接入,普通,7/26/2011, , 
ys0077014,宽带10M产品,11/22/2017,正使用,正常,c10002521267,新用户,5星ABD客户,城网用户,LAN接入,普通,11/22/2014, , 
ys0062369,宽带10M产品,12/18/2017,正使用,正常,c10002521292,新用户,5星ABD客户,城网用户,EOC接入,普通,3/11/2014, , 
ys0022599,宽带4M产品,8/7/2016,已停用,客户报停,c10002521293,新用户,3星AB客户,城网用户,LAN接入,普通,1/15/2012, , 
ys0041708,宽带10M产品,10/14/2017,正使用,正常,c10002521300,新用户,5星ABD客户,城网用户,EOC接入,农网居民,6/8/2013, , 
ys0040456,宽带10M产品,6/19/2017,正使用,正常,c10002521429,新用户,5星ABD客户,城网用户,LAN接入,农网居民,5/16/2013, , 
ys0069125,宽带10M产品,1/17/2018,正使用,正常,c10002521433,新用户,5星ABD客户,城网用户,EOC接入,普通,6/30/2014, , 
ys0003411,宽带10M产品,12/23/2017,正使用,正常,c10002521771,新用户,5星ABD客户,城网用户,EOC接入,普通,6/18/2010, , 
ys0084482,宽带10M产品,3/31/2017,正使用,正常,c10002522020,新用户,5星ABD客户,城网用户,EOC接入,广电系统,3/31/2015, , 
ys0092579,宽带10M产品,10/5/2017,正使用,正常,c10002522023,新用户,5星ABD客户,城网用户,EOC接入,农网居民,9/5/2015, , 
ys0022538,宽带10M产品,6/27/2017,正使用,正常,c10002522335,新用户,5星ABD客户,城网用户,EOC接入,普通,1/13/2012, , 
ys0018112,宽带10M产品,8/4/2017,正使用,正常,c10002522346,新用户,5星ABD客户,城网用户,EOC接入,普通,8/9/2011, , 
ys0082959,宽带10M产品,3/25/2017,正使用,正常,c10002522615,新用户,1星D客户,城网用户,EOC接入,普通,2/26/2015, , 
ys0023232,宽带10M产品,6/17/2017,正使用,正常,c10002522664,新用户,5星ABD客户,城网用户,EOC接入,普通,2/13/2012, , 
ys0070467,宽带10M产品,3/17/2018,正使用,正常,c10002522937,新用户,5星ABD客户,城网用户,EOC接入,农网居民,7/22/2014, , 
ys0121871,宽带10M产品,10/18/2017,正使用,正常,c10002523210,新用户,5星ABD客户,农网用户,EOC接入,农网居民,10/19/2016, , 
ys0020564,宽带10M产品,10/22/2017,正使用,正常,c10002523452,新用户,5星ABD客户,城网用户,EOC接入,农网居民,11/23/2011, , 
ys0006937,宽带2M产品,12/8/2013,已停用,1100000,c10002523458,新用户,5星ABD客户,城网用户,EOC接入,普通,9/8/2010, , 
ys0023531,宽带10M产品,11/3/2017,正使用,正常,c10002523458,新用户,5星ABD客户,城网用户,EOC接入,广电系统,2/22/2012, , 
ys0072559,宽带10M产品,3/18/2017,正使用,正常,c10002523460,新用户,5星ABD客户,城网用户,EOC接入,普通,8/29/2014, , 
ys0080385,宽带10M产品,1/11/2018,正使用,正常,c10002523873,新用户,5星ABD客户,城网用户,EOC接入,普通,1/12/2015, , 
ys0111000,宽带4M产品,5/21/2017,正使用,正常,c10002523883,新用户,5星ABD客户,城网用户,EOC接入,普通,5/22/2016, , 
ys0043323,宽带10M产品,10/28/2017,正使用,正常,c10002524090,新用户,5星ABD客户,城网用户,EOC接入,普通,7/3/2013, , 
ys0081507,宽带10M产品,8/1/2017,正使用,正常,c10002524093,新用户,5星ABD客户,城网用户,LAN接入,普通,1/27/2015, , 
ys0123808,宽带10M产品,11/11/2017,正使用,正常,c10002524158,新用户,5星ABD客户,城网用户,LAN接入,普通,11/12/2016, , 
ys0126402,宽带10M产品,12/12/2017,正使用,正常,c10002524220,新用户,5星ABD客户,城网用户,EOC接入,农网居民,12/13/2016, , 
ys0052238,宽带10M产品,11/13/2017,正使用,正常,c10002524417,新用户,5星ABD客户,城网用户,LAN接入,农网居民,11/14/2013, , 
ys0102553,宽带10M产品,1/8/2018,正使用,正常,c10002524502,新用户,5星ABD客户,城网用户,EOC接入,普通,1/9/2016, , 
ys0043105,宽带10M产品,8/17/2017,正使用,正常,c10002524711,新用户,5星ABD客户,城网用户,EOC接入,农网居民,6/29/2013, , 
ys0026409,宽带10M产品,8/7/2017,正使用,正常,c10002524935,新用户,5星ABD客户,城网用户,EOC接入,农网居民,5/29/2012, , 
ys0018575,宽带10M产品,9/17/2017,正使用,正常,c10002524943,新用户,5星ABD客户,城网用户,EOC接入,农网居民,8/30/2011, , 
ys0015428,宽带10M产品,1/11/2018,正使用,正常,c10002525176,新用户,3星AD客户,城网用户,EOC接入,普通,5/12/2011, , 
ys0034853,宽带10M产品,9/25/2017,正使用,正常,c10002525360,新用户,5星ABD客户,城网用户,LAN接入,农网居民,1/16/2013, , 
ys0028761,宽带4M产品,5/8/2017,正使用,正常,c10002525411,新用户,3星AD客户,城网用户,EOC接入,普通,8/7/2012, , 
ys0012579,宽带10M产品,7/5/2017,正使用,正常,c10002525488,宽带续费用户,5星ABD客户,城网用户,LAN接入,普通,2/18/2011, , 
ys0034030,宽带4M产品,10/7/2017,正使用,正常,c10002525497,新用户,5星ABD客户,农网用户,EOC接入,普通,12/28/2012, , 
ys0018271,宽带2M产品,3/16/2017,已停用,客户报停,c10002525501,新用户,离线,城网用户,EOC接入,普通,8/16/2011, , 
ys0121872,宽带10M产品,10/18/2017,正使用,正常,c10002525507,新用户,5星ABD客户,农网用户,EOC接入,农网居民,10/19/2016, , 
ys0021377,宽带10M产品,2/28/2017,正使用,正常,c10002525517,新用户,5星ABD客户,城网用户,EOC接入,普通,12/22/2011, , 
ys0084710,宽带10M产品,8/18/2017,正使用,正常,c10002525657,新用户,5星ABD客户,城网用户,EOC接入,农网居民,4/5/2015, , 
ys0019672,宽带10M产品,8/23/2017,正使用,正常,c10002525814,新用户,5星ABD客户,城网用户,LAN接入,农网居民,10/20/2011, , 
ys0028802,宽带10M产品,8/26/2017,正使用,正常,c10002525840,新用户,5星ABD客户,城网用户,EOC接入,农网居民,8/8/2012, , 
ys0005273,宽带10M产品,11/22/2017,正使用,正常,c10002526002,新用户,5星ABD客户,城网用户,EOC接入,农网居民,7/28/2010, , 
ys0083714,宽带10M产品,6/1/2017,正使用,正常,c10002526180,新用户,5星ABD客户,城网用户,EOC接入,普通,3/13/2015, , 
ys0027329,宽带10M产品,3/2/2017,正使用,正常,c10002526407,新用户,5星ABD客户,城网用户,EOC接入,普通,6/27/2012, , 
ys0074997,宽带4M产品,10/19/2016,已停用,客户报停,c10002526621,新用户,3星AB客户,城网用户,EOC接入,普通,10/17/2014, , 
ys0066492,宽带10M产品,7/5/2017,已停用,客户报停,c10002526744,新用户,3星AB客户,城网用户,LAN接入,普通,5/23/2014, , 
ys0042024,宽带10M产品,10/11/2017,正使用,正常,c10002526745,新用户,5星ABD客户,城网用户,EOC接入,普通,6/14/2013, , 
ys0031443,宽带10M产品,12/2/2017,正使用,正常,c10002526827,新用户,5星ABD客户,农网用户,EOC接入,普通,10/20/2012, , 
ys0119518,宽带10M产品,9/22/2017,正使用,正常,c10002527050,新用户,5星ABD客户,城网用户,EOC接入,农网居民,9/23/2016, , 
ys0009541,宽带10M产品,9/29/2017,正使用,正常,c10002527054,宽带续费用户,VIP商业个人客户,城网用户,EOC接入,农网居民,11/30/2010, , 
ys0024796,宽带10M产品,7/28/2017,正使用,正常,c10002527227,新用户,5星ABD客户,农网用户,EOC接入,农网居民,4/2/2012, , 
ys0074996,宽带4M产品,10/19/2016,已停用,客户报停,c10002527724,新用户,3星AB客户,城网用户,EOC接入,普通,10/17/2014, , 
ys0096440,宽带10M产品,10/30/2017,正使用,正常,c10002527734,新用户,5星ABD客户,城网用户,EOC接入,农网居民,10/30/2015, , 
ys0111388,宽带10M产品,6/28/2017,正使用,正常,c10002528222,新用户,5星ABD客户,农网用户,EOC接入,普通,5/29/2016, , 
ys0016231,宽带10M产品,1/5/2018,正使用,正常,c10002528229,新用户,5星ABD客户,城网用户,EOC接入,普通,6/9/2011, , 
ys0074995,宽带4M产品,10/19/2016,已停用,客户报停,c10002528294,新用户,离线,城网用户,EOC接入,普通,10/17/2014, , 
ys0020806,宽带2M产品,1/3/2017,已停用,客户报停,c10002528920,新用户,1星A客户,城网用户,LAN接入,普通,12/1/2011, , 
ys0078187,宽带10M产品,12/8/2017,正使用,正常,c10002529318,新用户,5星ABD客户,城网用户,EOC接入,广电系统,12/9/2014, , 
ys0019095,宽带10M产品,1/24/2018,正使用,正常,c10002529341,新用户,5星ABD客户,城网用户,EOC接入,普通,10/2/2011, , 
ys0065882,宽带10M产品,9/8/2017,正使用,正常,c10002529672,新用户,5星ABD客户,城网用户,EOC接入,农网居民,5/11/2014, , 
ys0057301,宽带10M产品,1/9/2018,正使用,正常,c10002529890,新用户,5星ABD客户,城网用户,EOC接入,普通,1/9/2014, , 
ys0078532,宽带10M产品,12/16/2017,正使用,正常,c10002529972,新用户,VIP商业个人客户,城网用户,EOC接入,普通,12/15/2014, , 
ys0040105,宽带10M产品,7/15/2017,正使用,正常,c10002530075,新用户,5星ABD客户,城网用户,EOC接入,普通,5/10/2013, , 
ys0030425,宽带20M产品,3/9/2017,正使用,正常,c10002531373,新用户,5星ABD客户,农网用户,LAN接入,普通,9/24/2012, , 
ys0030425,宽带10M产品,3/9/2018,正使用,正常,c10002531373,新用户,5星ABD客户,农网用户,LAN接入,普通,9/24/2012, , 
ys0048856,宽带10M产品,6/17/2017,正使用,正常,c10002531377,新用户,5星ABD客户,城网用户,LAN接入,普通,10/2/2013, , 
ys0007091,宽带4M产品,5/11/2017,正使用,正常,c10002531435,新用户,1星D客户,城网用户,EOC接入,普通,9/13/2010, , 
ys0091447,宽带10M产品,11/23/2017,正使用,正常,c10002531977,新用户,5星ABD客户,城网用户,LAN接入,普通,8/17/2015, , 
ys0091760,宽带10M产品,11/21/2017,正使用,正常,c10002532045,新用户,5星ABD客户,城网用户,EOC接入,普通,8/23/2015, , 
ys0111028,宽带4M产品,5/22/2017,正使用,正常,c10002532139,新用户,5星ABD客户,城网用户,EOC接入,普通,5/23/2016, , 
ys0081621,宽带10M产品,2/4/2018,正使用,正常,c10002532704,新用户,离线,城网用户,EOC接入,广电系统,1/28/2015, , 
ys0070621,宽带4M产品,7/25/2016,已停用,客户报停,c10002532717,新用户,离线,城网用户,LAN接入,普通,7/24/2014, , 
ys0041820,宽带10M产品,6/13/2017,正使用,正常,c10002532844,新用户,5星ABD客户,城网用户,LAN接入,普通,6/11/2013, , 
ys0049091,宽带4M产品,5/11/2017,正使用,正常,c10002533027,新用户,5星ABD客户,城网用户,EOC接入,普通,10/7/2013, , 
ys0128883,宽带10M产品,1/7/2018,正使用,正常,c10002533075,新用户,5星ABD客户,城网用户,EOC接入,普通,1/8/2017, , 
ys0008588,宽带10M产品,12/14/2017,正使用,正常,c10002533300,新用户,5星ABD客户,城网用户,EOC接入,普通,11/4/2010, , 
ys0083507,宽带10M产品,3/9/2017,正使用,正常,c10002533313,新用户,5星ABD客户,城网用户,EOC接入,普通,3/10/2015, , 
ys0017839,宽带10M产品,10/3/2017,正使用,正常,c10002533389,宽带续费用户,5星ABD客户,城网用户,LAN接入,农网居民,7/30/2011, , 
ys0121874,宽带10M产品,10/18/2017,正使用,正常,c10002533572,新用户,5星ABD客户,农网用户,EOC接入,农网居民,10/19/2016, , 
ys0002707,宽带10M产品,1/4/2018,正使用,正常,c10002533585,新用户,5星ABD客户,城网用户,EOC接入,普通,6/1/2010, , 
ys0068567,宽带10M产品,7/3/2017,正使用,正常,c10002533801,新用户,1星D客户,城网用户,EOC接入,普通,6/26/2014, , 
ys0061580,宽带10M产品,1/20/2018,正使用,正常,c10002533821,新用户,5星ABD客户,城网用户,EOC接入,普通,2/27/2014, , 
ys0054399,宽带10M产品,12/22/2016,已停用,欠费停机,c10007132666,新用户,离线,城网用户,EOC接入,普通,12/10/2013, , 
ys0069897,宽带10M产品,1/30/2018,正使用,正常,c10002534058,新用户,5星ABD客户,城网用户,EOC接入,普通,7/13/2014, , 
ys0011852,宽带10M产品,7/31/2017,正使用,正常,c10002534204,新用户,5星ABD客户,城网用户,EOC接入,农网居民,1/20/2011, , 
ys0021282,宽带10M产品,5/26/2017,正使用,正常,c10002534205,新用户,5星ABD客户,城网用户,EOC接入,普通,12/20/2011, , 
ys0070600,宽带10M产品,7/23/2017,正使用,正常,c10002534209,新用户,5星ABD客户,城网用户,EOC接入,普通,7/24/2014, , 
ys0047219,宽带10M产品,4/7/2017,正使用,正常,c10002534216,新用户,1星D客户,城网用户,EOC接入,普通,9/8/2013, , 
ys0040577,宽带10M产品,7/16/2017,正使用,正常,c10002534309,新用户,5星ABD客户,城网用户,EOC接入,普通,5/17/2013, , 
ys0024334,宽带10M产品,12/22/2017,正使用,正常,c10002534320,新用户,5星ABD客户,农网用户,EOC接入,普通,3/18/2012, , 
ys0056119,宽带10M产品,1/12/2018,正使用,正常,c10002534454,新用户,5星ABD客户,城网用户,EOC接入,广电系统,12/30/2013, , 
ys0092120,宽带20M产品,9/28/2017,正使用,正常,c10002534455,新用户,5星ABD客户,城网用户,EOC接入,农网居民,8/29/2015, , 
ys0025147,宽带10M产品,10/19/2017,正使用,正常,c10002534464,新用户,3星AD客户,城网用户,EOC接入,普通,4/16/2012, , 
ys0130187,宽带10M产品,1/17/2018,正使用,正常,c10002534772,新用户,5星ABD客户,城网用户,EOC接入,普通,1/18/2017, , 
ys0083876,宽带10M产品,3/16/2017,正使用,正常,c10002534774,新用户,5星ABD客户,农网用户,EOC接入,普通,3/17/2015, , 
ys0072129,宽带10M产品,1/18/2018,正使用,正常,c10002534777,新用户,5星ABD客户,城网用户,EOC接入,普通,8/21/2014, , 
ys0027162,宽带10M产品,10/18/2017,正使用,正常,c10002535179,新用户,5星ABD客户,城网用户,EOC接入,普通,6/21/2012, , 
ys0041471,宽带10M产品,9/20/2017,正使用,正常,c10002535252,新用户,5星ABD客户,农网用户,EOC接入,普通,6/4/2013, , 
ys0051166,宽带10M产品,2/13/2017,已停用,客户报停,c10002535628,新用户,离线,城网用户,EOC接入,普通,11/1/2013, , 
ys0071715,宽带20M产品,1/20/2018,正使用,正常,c10002535912,新用户,1星D客户,城网用户,EOC接入,广电系统,8/13/2014, , 
ys0098816,宽带10M产品,1/5/2018,正使用,正常,c10002535924,新用户,5星ABD客户,城网用户,EOC接入,普通,12/1/2015, , 
ys0041816,宽带4M产品,6/28/2017,正使用,正常,c10002536174,新用户,5星ABD客户,城网用户,LAN接入,普通,6/10/2013, , 
ys0053026,宽带10M产品,11/16/2017,正使用,正常,c10002536726,新用户,5星ABD客户,城网用户,LAN接入,普通,11/23/2013, , 
ys0043737,宽带10M产品,5/13/2017,正使用,正常,c10002536729,新用户,5星ABD客户,城网用户,EOC接入,普通,7/11/2013, , 
ys0121870,宽带10M产品,10/18/2017,正使用,正常,c10002536731,新用户,5星ABD客户,城网用户,EOC接入,农网居民,10/19/2016, , 
ys0029432,宽带4M产品,5/8/2017,正使用,正常,c10002536817,新用户,5星ABD客户,农网用户,EOC接入,普通,8/29/2012, , 
ys0040030,宽带10M产品,5/25/2017,正使用,正常,c10002536825,新用户,5星ABD客户,城网用户,EOC接入,普通,5/9/2013, , 
ys0024791,宽带10M产品,7/29/2017,正使用,正常,c10002536982,新用户,5星ABD客户,城网用户,EOC接入,农网居民,4/1/2012, , 
ys0092875,宽带10M产品,1/8/2018,正使用,正常,c10002536984,新用户,5星ABD客户,城网用户,EOC接入,普通,9/10/2015, , 
ys0078105,宽带10M产品,1/13/2018,正使用,正常,c10002536989,新用户,5星ABD客户,城网用户,EOC接入,普通,12/8/2014, , 
ys0085697,宽带4M产品,9/30/2017,正使用,正常,c10002537043,新用户,5星ABD客户,城网用户,EOC接入,农网居民,4/28/2015, , 
ys0041675,宽带10M产品,10/26/2017,正使用,正常,c10002537068,新用户,5星ABD客户,城网用户,EOC接入,农网居民,6/8/2013, , 
ys0121875,宽带10M产品,10/18/2017,正使用,正常,c10002537070,新用户,5星ABD客户,农网用户,EOC接入,农网居民,10/19/2016, , 
ys0078584,宽带10M产品,12/15/2017,正使用,正常,c10002537287,新用户,5星ABD客户,城网用户,EOC接入,普通,12/16/2014, , 
ys0088332,宽带10M产品,6/18/2017,正使用,正常,c10002537314,新用户,5星ABD客户,城网用户,EOC接入,普通,6/19/2015, , 
ys0111157,宽带10M产品,6/23/2017,正使用,正常,c10002537325,新用户,5星ABD客户,城网用户,EOC接入,普通,5/24/2016, , 
ys0053164,宽带10M产品,12/2/2017,正使用,正常,c10002537335,新用户,5星ABD客户,城网用户,EOC接入,普通,11/25/2013, , 
ys0017851,宽带10M产品,7/3/2020,正使用,正常,c10002537484,宽带续费用户,5星ABD客户,城网用户,EOC接入,广电系统,7/31/2011, , 
ys0014977,宽带10M产品,1/24/2018,正使用,正常,c10002537495,新用户,5星ABD客户,城网用户,EOC接入,普通,4/26/2011, , 
ys0032532,宽带10M产品,3/13/2017,正使用,正常,c10002537565,新用户,5星ABD客户,城网用户,EOC接入,农网居民,11/15/2012, , 
ys0095876,宽带10M产品,1/15/2018,正使用,正常,c10002537727,新用户,5星ABD客户,城网用户,EOC接入,普通,10/21/2015, , 
ys0078907,宽带4M产品,12/22/2016,已停用,欠费停机,c10007640167,新用户,离线,农网用户,LAN接入,普通,12/21/2014, , 
ys0006500,宽带4M产品,11/27/2017,正使用,正常,c10002537765,新用户,5星ABD客户,城网用户,EOC接入,普通,8/26/2010, , 
ys0028610,宽带10M产品,5/8/2017,正使用,正常,c10002537822,新用户,5星ABD客户,城网用户,EOC接入,普通,8/1/2012, , 
ys0030532,宽带10M产品,9/25/2017,正使用,正常,c10002537825,新用户,5星ABD客户,城网用户,LAN接入,普通,9/26/2012, , 
ys0117536,宽带10M产品,8/26/2017,正使用,正常,c10002537835,新用户,5星ABD客户,城网用户,EOC接入,农网居民,8/27/2016, , 
ys0007065,宽带10M产品,2/14/2018,正使用,正常,c10002537839,宽带续费用户,5星ABD客户,城网用户,EOC接入,普通,9/13/2010, , 
ys0005105,宽带10M产品,5/16/2017,正使用,正常,c10002537907,宽带续费用户,5星ABD客户,城网用户,EOC接入,普通,7/24/2010, , 
ys0084317,宽带10M产品,8/3/2017,正使用,正常,c10002537966,新用户,5星ABD客户,城网用户,EOC接入,农网居民,3/27/2015, , 
ys0057223,宽带10M产品,1/12/2018,正使用,正常,c10002538040,新用户,5星ABD客户,城网用户,LAN接入,普通,1/9/2014, , 
ys0121877,宽带10M产品,10/18/2017,正使用,正常,c10002538109,新用户,5星ABD客户,农网用户,EOC接入,农网居民,10/19/2016, , 
ys0049549,宽带10M产品,9/18/2017,正使用,正常,c10002538116,新用户,5星ABD客户,城网用户,EOC接入,农网居民,10/12/2013, , 
ys0041093,宽带4M产品,10/10/2017,正使用,正常,c10002538240,新用户,5星ABD客户,城网用户,EOC接入,广电系统,5/27/2013, , 
ys0096971,宽带10M产品,11/11/2017,正使用,正常,c10002538364,新用户,5星ABD客户,城网用户,EOC接入,普通,11/8/2015, , 
ys0037021,宽带4M产品,8/11/2017,正使用,正常,c10002538537,新用户,VIP商业个人客户,城网用户,EOC接入,普通,3/6/2013, , 
ys0015190,宽带10M产品,9/28/2017,正使用,正常,c10002538596,新用户,5星ABD客户,城网用户,EOC接入,普通,5/19/2011, , 
ys0017391,宽带10M产品,9/20/2017,正使用,正常,c10002538609,新用户,5星ABD客户,城网用户,EOC接入,普通,7/15/2011, , 
ys0081172,宽带10M产品,1/21/2018,正使用,正常,c10002538715,新用户,5星ABD客户,城网用户,EOC接入,普通,1/22/2015, , 
ys0083392,宽带10M产品,6/30/2017,正使用,正常,c10002539007,新用户,5星ABD客户,城网用户,EOC接入,普通,3/8/2015, , 
ys0007805,宽带10M产品,2/22/2018,正使用,正常,c10002539009,宽带续费用户,5星ABD客户,城网用户,EOC接入,广电系统,10/9/2010, , 
ys0061396,宽带4M产品,10/14/2017,正使用,正常,c10002539435,新用户,5星ABD客户,城网用户,EOC接入,普通,2/25/2014, , 
ys0098648,宽带10M产品,11/28/2017,正使用,正常,c10002539723,新用户,5星ABD客户,城网用户,EOC接入,普通,11/29/2015, , 
ys0121879,宽带10M产品,10/18/2017,正使用,正常,c10002540224,新用户,5星ABD客户,农网用户,EOC接入,农网居民,10/19/2016, , 
ys0062741,宽带10M产品,12/23/2016,已停用,欠费停机,c10004337952,新用户,离线,城网用户,EOC接入,农网居民,3/16/2014, , 
ys0051775,宽带10M产品,7/15/2017,正使用,正常,c10002540955,新用户,5星ABD客户,城网用户,EOC接入,普通,11/9/2013, , 
ys0080168,宽带10M产品,3/5/2017,正使用,正常,c10002541146,新用户,5星ABD客户,城网用户,EOC接入,普通,1/8/2015, , 
ys0085689,宽带10M产品,7/27/2017,正使用,正常,c10002541187,新用户,5星ABD客户,城网用户,EOC接入,农网居民,4/28/2015, , 
ys0088682,宽带10M产品,6/24/2017,正使用,正常,c10002542466,新用户,5星ABD客户,城网用户,EOC接入,普通,6/25/2015, , 
ys0068570,宽带10M产品,8/11/2017,正使用,正常,c10002543563,新用户,5星ABD客户,城网用户,EOC接入,农网居民,6/26/2014, , 
ys0111912,宽带10M产品,7/8/2017,正使用,正常,c10002543792,新用户,5星ABD客户,城网用户,EOC接入,普通,6/9/2016, , 
ys0075968,宽带10M产品,11/4/2017,正使用,正常,c10002544008,新用户,5星ABD客户,城网用户,EOC接入,普通,11/5/2014, , 
ys0049853,宽带10M产品,1/21/2018,正使用,正常,c10002544048,新用户,5星ABD客户,城网用户,EOC接入,广电系统,10/15/2013, , 
ys0085476,宽带10M产品,4/24/2017,正使用,正常,c10002544166,新用户,5星ABD客户,城网用户,EOC接入,普通,4/23/2015, , 
ys0057528,宽带10M产品,12/23/2016,已停用,欠费停机,c10005494210,新用户,1星A客户,农网用户,EOC接入,普通,1/12/2014, , 
ys0051315,宽带10M产品,1/22/2018,正使用,正常,c10002544517,新用户,5星ABD客户,城网用户,EOC接入,普通,11/3/2013, , 
ys0085620,宽带10M产品,5/8/2017,正使用,正常,c10002544521,新用户,5星ABD客户,城网用户,LAN接入,普通,4/27/2015, , 
ys0005175,宽带10M产品,8/28/2017,正使用,正常,c10002545298,新用户,5星ABD客户,城网用户,EOC接入,农网居民,7/26/2010, , 
